"Level","Industry","Session Theme","Role","Products","Room","Venue Name","Session Date","Session Time","Session Start Time","Attendance Category","Session Duration","Enrollment Count","Session Format","Session: Session Name","Session Abstract"
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Wednesday","2:00 p.m. - 2:40 p.m.","11/8/2017 2:00 PM","Small: > 200","40","37","Circle of Success","Fundraising for Nonprofits - Donor Acquisition: Prospecting & Qualification","Salesforce.org nonprofit customers - Learn how the Salesforce Nonprofit Success Pack (NPSP) can help your fundraising team increase and diversify your new donor pool. We'll collaborate on and review best practices for using Salesforce to more effectively prospect and qualify potential donors."
"Beginner","Communications; High Tech; Professional Services","Sales Productivity; User Experience; Tips & Tricks","New Customer; Salesforce Administrator","Sales Cloud; Cloud Services","Plaza Ballroom B","Hilton Union Square Hotel","Wednesday","11:30 a.m. - 12:10 p.m.","11/8/2017 11:30 AM","Small: > 200","40","96","Circle of Success","Become a Data Management Rockstar (3)","Join us to understand how simple concepts, such as naming standards and validation rules, can have a positive impact on data. We'll also discuss best practices for using Salesforce functionality and tools that can positively impact effective data management."
"Beginner","Communications; High Tech; Professional Services","User Experience; Lightning Adoption; Tips & Tricks","IT; Salesforce Administrator; Technical Architect","Sales Cloud; Lightning; Cloud Services","Plaza Ballroom B","Hilton Union Square Hotel","Wednesday","1:30 p.m. - 2:10 p.m.","11/8/2017 1:30 PM","Small: > 200","40","96","Circle of Success","Prepare for Your Lightning Transition: Strategies for Success (3)","Join us to learn how to successfully adopt and leverage Salesforce Lightning for your organization. Regardless of where you are on your transition journey, this is a great opportunity to exchange best practices and get tips for a successful launch."
"Beginner","Communications; High Tech; Professional Services","User Experience; Tips & Tricks","New Customer; Salesforce Administrator; Technical Architect","Sales Cloud; Cloud Services","Plaza Ballroom A","Hilton Union Square Hotel","Monday","12:00 p.m. - 12:40 p.m.","11/6/2017 12:00 PM","Small: > 200","40","48","Circle of Success","New to Salesforce? Plan and Execute a Successful Launch (1)","Join us for an intimate and interactive discussion with other customers about getting and staying on the path to success with your new Salesforce implementation. We'll focus on how you can improve your Salesforce Implementation and adapt it to your changing business needs. We'll discuss the key questions to ask before beginning a Salesforce implementation, ideas and strategies to promote a successful launch, and how to create a roadmap to success."
"Beginner","Communications; High Tech; Professional Services","User Experience; Tips & Tricks","IT; Salesforce Administrator; Technical Architect","Sales Cloud; Cloud Services","Plaza Ballroom B","Hilton Union Square Hotel","Tuesday","11:00 a.m. - 11:40 a.m.","11/7/2017 11:00 AM","Small: > 200","40","88","Circle of Success","New to Salesforce? Plan and Execute a Successful Launch (2)","Join us for an intimate and interactive discussion with other customers about getting and staying on the path to success with your new Salesforce implementation. We'll focus on how you can improve your Salesforce Implementation and adapt it to your changing business needs. We'll discuss the key questions to ask before beginning a Salesforce implementation, ideas and strategies to promote a successful launch, and how to create a roadmap to success."
"Beginner","Communications; High Tech; Professional Services","Sales Productivity; User Experience; Tips & Tricks","New Customer; Sales; Salesforce Administrator","Sales Cloud; Cloud Services","Plaza Ballroom A","Hilton Union Square Hotel","Wednesday","3:00 p.m. - 3:40 p.m.","11/8/2017 3:00 PM","Small: > 200","40","48","Circle of Success","Getting Started with Salesforce Customizations (3)","Join us for an intimate and interactive discussion with other customers where we'll focus on sharing common challenges with identifying, building, and augmenting Salesforce using its native button-click customization features. We'll discuss best practices for customizing Salesforce to align with your business processes."
"Beginner","Communications; High Tech; Professional Services","User Experience; Tips & Tricks; Customer Support","New Customer; Salesforce Administrator; Service & Support","Service Cloud; Cloud Services","Plaza Ballroom A","Hilton Union Square Hotel","Wednesday","2:00 p.m. - 2:40 p.m.","11/8/2017 2:00 PM","Small: > 200","40","48","Circle of Success","Getting Started with Customer Service (3)","Join us for an intimate and interactive discussion with other customers to learn about strategies and best practices for leveraging Service Cloud to streamline post-sales functions, such as Customer Support, Finance, Logistics, and more. We'll discuss Salesforce capabilities that help support a consistent process and documentation in your business. We'll also discuss best practices for using computer telephony integration (CTI) and chat."
"Beginner","Communications; High Tech; Professional Services","Sales Productivity; User Experience; Tips & Tricks","Sales; Salesforce Administrator; Service & Support","Sales Cloud; Service Cloud; Cloud Services","Plaza Ballroom A","Hilton Union Square Hotel","Wednesday","1:00 p.m. - 1:40 p.m.","11/8/2017 1:00 PM","Small: > 200","40","48","Circle of Success","Drive Productivity Using Salesforce Console (3)","Businesses today are increasingly demanding fast-paced sales and service functions. Salesforce Console, now available to all customers, is designed to reduce the clicking and scrolling, and give your users easier ways to find, update, and create records. Join us to collaboratively learn how other customers are using Salesforce console, and how easily you can set up Consoles for your users."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Wednesday","3:00 p.m. - 3:40 p.m.","11/8/2017 3:00 PM","Small: > 200","40","37","Circle of Success","Fundraising for Nonprofits - Donor Engagement: Cultivation & Solicitation","Salesforce.org nonprofit customers - Learn how the Salesforce Nonprofit Success Pack (NPSP) can help your fundraising team cultivate and sustain major donors. We'll collaborate and review best practices for using Salesforce to engage donors, solicit gifts, and maximize your fundraising strategy."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Tuesday","8:00 a.m. - 8:40 a.m.","11/7/2017 8:00 AM","Small: > 200","40","37","Circle of Success","Getting Started with an Inherited Salesforce Org Nonprofit, Higher Ed & K-12 (1)","Salesforce.org nonprofit and education customers - Nowadays it is rare for Admins to start from scratch with a new Salesforce implementation. It's more likely that an Admin will inherit an org that has been around for a few years and contains lots of customizations, but little documentation. This session is intended to provide a framework for new Admins to successfully assess and manage an inherited Salesforce org. Let's discuss and collaborate where to start with your assessment, what tools can help assess your org health, and what action you can take relatively quickly to improve the usability of your org."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Wednesday","12:00 p.m. - 12:40 p.m.","11/8/2017 12:00 PM","Small: > 200","40","31","Circle of Success","Getting Started with an Inherited Salesforce Org Nonprofit, Higher Ed & K-12 (2)","Salesforce.org nonprofit and education customers - Nowadays it is rare for Admins to start from scratch with a new Salesforce implementation. It's more likely that an Admin will inherit an org that has been around for a few years and contains lots of customizations, but little documentation. This session is intended to provide a framework for new Admins to successfully assess and manage an inherited Salesforce org. Let's discuss and collaborate where to start with your assessment, what tools can help assess your org health, and what action you can take relatively quickly to improve the usability of your org."
"Beginner","Communications; Financial Services","Tips & Tricks","New Customer; Sales; Salesforce Administrator","Financial Services Cloud; Cloud Services","Plaza Ballroom A","Hilton Union Square Hotel","Monday","2:00 p.m. - 2:40 p.m.","11/6/2017 2:00 PM","Small: > 200","40","54","Circle of Success","Best Practices for the Financial Services Industry","Join us for an intimate and interactive discussion with other customers to learn Salesforce best practices for the Financial Services industry."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Tuesday","1:30 p.m. - 2:10 p.m.","11/7/2017 1:30 PM","Small: > 200","40","37","Circle of Success","Increase Productivity with Activity Management Nonprofit, Higher Ed and K-12 (1)","Salesforce.org nonprofit and education customers - Learn how activity management increases productivity and insights. This session takes you on a journey highlighting the importance of activity management, how to best capture critical activities, and how this information provides business insights."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Wednesday","10:00 a.m. - 10:40 a.m.","11/8/2017 10:00 AM","Small: > 200","40","37","Circle of Success","Increase Productivity with Activity Management Nonprofit, Higher Ed and K-12 (2)","Salesforce.org nonprofit and education customers - Learn how activity management increases productivity and insights. This session takes you on a journey highlighting the importance of activity management, how to best capture critical activities, and how this information provides business insights."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Tuesday","10:30 a.m. - 11:10 a.m.","11/7/2017 10:30 AM","Small: > 200","40","37","Circle of Success","Transform Your Organization with Automation for Nonprofit, Higher Ed & K-12 (1)","Salesforce.org nonprofit and education customers - Join us for an interactive discussion with other nonprofit customers to learn how to leverage Salesforce's powerful workflow automation features. Uncover where your nonprofit processes can be streamlined and learn how to make Salesforce automation an ongoing evolution. Streamline your organization's processes with Salesforce's native automation features."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Thursday","10:30 a.m. - 11:10 a.m.","11/9/2017 10:30 AM","Small: > 200","40","37","Circle of Success","Transform Your Organization with Automation for Nonprofit, Higher Ed & K-12 (2)","Salesforce.org nonprofit and education customers - Join us for an interactive discussion with other nonprofit customers to learn how to leverage Salesforce's powerful workflow automation features. Uncover where your nonprofit processes can be streamlined and learn how to make Salesforce automation an ongoing evolution. Streamline your organization's processes with Salesforce's native automation features."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Thursday","8:30 a.m. - 9:10 a.m.","11/9/2017 8:30 AM","Small: > 200","40","37","Circle of Success","Using Communities to Improve Interaction for Nonprofit, Higher Ed and K-12","Salesforce.org nonprofit and education customers - Learn new ways to engage constituents and increase impact with Communities. Collaboration among staff, supporters, partners, volunteers, and other constituents is key to building alignment and accelerating your mission."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Tuesday","12:30 p.m. - 1:10 p.m.","11/7/2017 12:30 PM","Small: > 200","40","37","Circle of Success","Weathering the Storm of Change Management for Nonprofit, Higher Ed and K-12 (1)","Salesforce.org nonprofit and education customers - Determine how to effectively manage change and governance within your organization. Process, Roles, Governance and What's in it for Me! Join us for a discussion to collaboratively determine the characteristics of how to effectively manage change."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Wednesday","1:00 p.m. - 1:40 p.m.","11/8/2017 1:00 PM","Small: > 200","40","37","Circle of Success","Weathering the Storm of Change Management for Nonprofit, Higher Ed and K-12 (2)","Salesforce.org nonprofit and education customers - Determine how to effectively manage change and governance within your organization. Process, Roles, Governance and What's in it for Me! Join us for a discussion to collaboratively determine the characteristics of how to effectively manage change."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Wednesday","4:00 p.m. - 4:40 p.m.","11/8/2017 4:00 PM","Small: > 200","40","37","Circle of Success","7 Principles of Success with Salesforce for Nonprofit, Higher Ed and K-12 (1)","Salesforce.org nonprofit and education customers - Join us for an interactive discussion with other nonprofit customers to learn how to get and stay on the path to success with Salesforce. Getting and staying on the path to success is challenging as organizations grow more complex and the needs of your business users evolve. Join us to discuss how other customers have become successful through identifying executive sponsors, planning for growth, and dedicating resources to Salesforce."
"","Education; Nonprofit","Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Thursday","9:30 a.m. - 10:10 a.m.","11/9/2017 9:30 AM","Small: > 200","40","37","Circle of Success","7 Principles of Success with Salesforce for Nonprofit, Higher Ed and K-12 (2)","Salesforce.org nonprofit and education customers - Join us for an interactive discussion with other nonprofit customers to learn how to get and stay on the path to success with Salesforce. Getting and staying on the path to success is challenging as organizations grow more complex and the needs of your business users evolve. Join us to discuss how other customers have become successful through identifying executive sponsors, planning for growth, and dedicating resources to Salesforce."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Tuesday","2:30 p.m. - 3:10 p.m.","11/7/2017 2:30 PM","Small: > 200","40","37","Circle of Success","Become a Data Management Rockstar for Nonprofit, Higher Ed and K-12 (1)","Salesforce.org nonprofit and education customers - Join us for an interactive discussion with other nonprofit customers to gain an understanding around Data management and its challenges which impact all areas of your organization. Determine not only what features are available but also the best practices for using Salesforce functionality for effective data management. Employ the right tools to ensure that you keep your data clean and enriched."
"Intermediate","Communications; Media","User Experience; Enterprise; Innovation","E-Commerce; Executive; Product Management","Service Cloud; Platform; Cloud Services","Imperial B","Hilton Union Square Hotel","Wednesday","11:30 a.m. - 12:10 p.m.","11/8/2017 11:30 AM","Medium: 200 - 400","40","129","Breakout","Driving Customer Experience in a Digital Age at Thomson Reuters","Thomson Reuters is the answer company, gathering, analyzing, and reporting information on automotive, energy, financial, government, and legal solutions all around the world. In 2016, Jim Smith, CEO, set a new strategic direction to transform the experience their thousands of global customers have to serve them better and to grow the $11BN business. The direction was set that Customer Experience includes every interaction a customer has with Thomson Reuters. To deliver on this ambitious digital transformation, Thomson Reuters brought together talent from across the business, including their partners. Join Thomson Reuters Customer Experience Leadership, and their partners from Salesforce ITC to learn how to achieve success faster with a customer centric approach."
"","Consumer Goods; Financial Services; Healthcare","Leadership; Enterprise; Innovation","Executive; IT; Salesforce Administrator","Sales Cloud; Service Cloud; Cloud Services","Imperial A","Hilton Union Square Hotel","Monday","9:00 a.m. - 9:40 a.m.","11/6/2017 9:00 AM","Medium: 200 - 400","40","187","Breakout","Governance and Centers of Excellence: Supercharging the Salesforce Platform (1)","Salesforce has a comprehensive governance framework, and in this session we'll discuss the key fundamental items all enterprise customers should understand. Join our discussion to explore operating models, business / IT roles, program team composition development, and deployment lifecycle management. Bring your questions and let's have a great discussion on how to maximize the Salesforce platform in your organization."
"","Consumer Goods","Mobile; Enterprise; Sales Enablement","Executive; IT; Sales","Force.com; Platform; Cloud Services","Imperial A","Hilton Union Square Hotel","Monday","10:00 a.m. - 10:40 a.m.","11/6/2017 10:00 AM","Medium: 200 - 400","40","121","Breakout","Innovative CPG Companies Are Transforming Their Business with Salesforce","Join us to learn how AB InBev is transforming their global sales, service, and marketing using Salesforce technology and the Innovation and Transformation Center. You'll get an overview of their complete global sales transformation, which has resulted in significant competitive advantages. You'll also learn about their focus on innovation, agility, and flexibility accelerating time to market and time to value, while breaking down the siloes between their departments."
"","Financial Services; High Tech; Media","Salesforce on Salesforce; Innovation; Customer Support","Consultant; Entrepreneur; Executive","Sales Cloud; Lightning; Einstein Analytics","Imperial B","Hilton Union Square Hotel","Monday","12:30 p.m. - 1:10 p.m.","11/6/2017 12:30 PM","Medium: 200 - 400","40","110","Breakout","How Salesforce Is Driving Customer Success Digital Transformation & Innovation","Join us to learn how Salesforce Customer Success & Growth (CSG) organization is driving digital transformation and innovation, building a new customer success platform that leverages the best of Salesforce cloud products, and other emerging solutions, like data science/AI, to drive customer success and engagement, business growth, retention, engagement and productivity, and predictive and prescriptive recommendations, across the customer success lifecycle."
"Intermediate","High Tech","Enterprise; Sales Enablement; Customer Support","Operations; Sales; Service & Support","Sales Cloud; Service Cloud; Cloud Services","Imperial A","Hilton Union Square Hotel","Wednesday","4:00 p.m. - 4:40 p.m.","11/8/2017 4:00 PM","Medium: 200 - 400","40","31","Breakout","HPE: Driving Innovation Amidst Organization Change","In an effort to produce an organization that is precisely built to compete and win in the marketplace, HPE underwent massive changes. They clean-sheeted their operating model and organizational structure to simplify how they worked. Through this transformative time, HPE is emerging a smaller, nimbler organization focused on driving speed-to-value across their portfolio. They are focused on streamlined decision-making, improved IT/Business collaboration, faster innovation cycles, and digital-influenced operating model components. Join us as we explore how the Salesforce ecosystem, in collaboration with HPE, has helped change their journey."
"","","Leadership; Innovation","Consultant; Executive; IT","Cloud Services","Imperial A","Hilton Union Square Hotel","Tuesday","12:00 p.m. - 12:40 p.m.","11/7/2017 12:00 PM","Medium: 200 - 400","40","82","Breakout","Human Centered Design (1)","According to Forrester, on average, every dollar invested in human-centered design brings 100 dollars in return. Join us to learn why having a better understanding of the human experience surrounding digital interactions can make or break your competitive advantage."
"","High Tech","Innovation; Customer Support","Executive; IT; Service & Support","Service Cloud; Cloud Services","Imperial A","Hilton Union Square Hotel","Wednesday","3:00 p.m. - 3:40 p.m.","11/8/2017 3:00 PM","Medium: 200 - 400","40","87","Breakout","IBM's Journey to Creating Intelligent Customer Service","According to Gartner, by 2022, 72% of customer interactions will involve an emerging technology such as machine-learning applications, chatbots or mobile messaging. By integrating Watson's capabilities into Service and Community Clouds, IBM is leading the charge on this front. Join us to learn how IBM is transforming their support organization with the help of Salesforce Architects. You'll get an inside look at how they are rolling out a complex implementation of Salesforce to thousands of users in a short time to gain increases in sales efficiencies, deploy smoother processes, and make way for more innovations."
"","Education; Media","User Experience; Customer Support","Executive; IT; Service & Support","Service Cloud; Community Cloud; Cloud Services","Imperial A","Hilton Union Square Hotel","Tuesday","3:00 p.m. - 3:40 p.m.","11/7/2017 3:00 PM","Medium: 200 - 400","40","69","Breakout","Learning Reimagined: Pearson Education Uses Tech To Improve Customer Engagement","Personalized digital learning experiences and platforms are only the tip of the iceberg in a fast-growing, multi-billion dollar EdTech industry. Compounded with the proliferation of more affordable personal devices and the democratization of connectivity, the future of education will be in the hands of companies that strive to make every customer touch point meaningful. For Pearson Education, using innovative technologies also meant transitioning their support organization into a vital part of their customer experience. Join us to learn how they maximized a sales and services collaboration, decreased call center expenses, and improved customer engagement by unleashing Salesforce and innovative technologies."
"","High Tech","Lightning Adoption; Enterprise; Tips & Tricks","IT; Salesforce Administrator; Service & Support","Sales Cloud; Lightning; Cloud Services","Imperial B","Hilton Union Square Hotel","Monday","11:30 a.m. - 12:10 p.m.","11/6/2017 11:30 AM","Medium: 200 - 400","40","55","Breakout","Leverage Accelerators to Turbocharge Your Salesforce Implementation","Join us to find out how large enterprise customer Zayo was able to leverage accelerators to achieve greater value from their Salesforce implementation. Zayo has a complex and customized Salesforce implementation that is leveraged by every Zayo business function. By carefully selecting accelerators that align to their roadmap, Zayo has been able to create a strategy and plan for aligning to the Salesforce roadmap, reduce technical debt, and migration to Lightning."
"","Communications; Media","Leadership; Enterprise; Innovation","Executive; IT","Cloud Services","Imperial B","Hilton Union Square Hotel","Wednesday","2:30 p.m. - 3:10 p.m.","11/8/2017 2:30 PM","Medium: 200 - 400","40","14","Breakout","HMH's Journey to Transforming Technology in Education","A global company with an all-encompassing legacy of specializing in education content and services, Houghton Mifflin Harcourt (HMH,) is at the forefront of innovating and developing complete, cutting-edge solutions for 21st-century learning. Serving over 50 million students worldwide, HMH is navigating the complex digital landscape by rethinking what a modern IT practice really means. From developing operational excellence around Salesforce to broader goals like nurturing agile methodologies to be more responsive to business needs across sales, services, and marketing, join us to learn how HMH is laying down the foundations of their digital DNA with the trusted partnership of Salesforce Architects."
"","Manufacturing","Lightning Adoption; Enterprise; Sales Enablement","Executive; IT; New Customer","Sales Cloud; Lightning; Cloud Services","Imperial A","Hilton Union Square Hotel","Monday","1:00 p.m. - 1:40 p.m.","11/6/2017 1:00 PM","Medium: 200 - 400","40","22","Breakout","Powering the Future: Executing #DigitalTransformation at EnerSys","With the growing demand for backup power in commercial fleets, the burgeoning load on electric grid infrastructure and increasing investments in data centers, the global market for stored energy is rapidly evolving. EnerSys, a global leader in the industry with over 21% market share, is harnessing the power of Salesforce as their platform for a significant digital transformation. Join us to learn how EnerSys is strategically using Salesforce as a unifying tool for sales engineers, operations, and their senior leadership team. Salesforce services is assisting with architectural expertise as Enersys improves their customer experience and builds the foundation for a robust integrated IT architecture that includes multiple ERP systems, modern CPQ, and Salesforce Lightning."
"Intermediate","","","IT; Salesforce Administrator; Service & Support","Sales Cloud; Service Cloud; Cloud Services","Trailhead Academy: Theater","Hilton Union Square Hotel","Tuesday","10:30 a.m. - 10:50 a.m.","11/7/2017 10:30 AM","Small: < 200","20","0","Zone Theater","#Best Practices for Release Management","Each year, the Salesforce Core Application has three major releases containing new features. There are also more frequent minor releases to support service growth and to fix issues. Join us if you are curious how Salesforce meets major release schedules that are published one year in advance, as well as the more frequent releases that happen in the background without any customer involvement necessary. You will also hear from a long-time Salesforce customer about their continuous improvement journey."
"","","Small & Medium Business; Lightning Adoption; Emerging Small Business","Consultant; Operations; Salesforce Administrator","Cloud Services","Trailhead Academy: Theater","Hilton Union Square Hotel","Tuesday","10:00 a.m. - 10:20 a.m.","11/7/2017 10:00 AM","Small: < 200","20","0","Zone Theater","101 Guide to Success with Premier","Why are Premier Success Plans the most popular plan? Because they help customers get the most out of all their Salesforce capabilities, faster. Join us to learn how to put Accelerators, 24/7 support, Configuration Services, and Developer Support to work for you, so you can see big results with Salesforce."
"","Financial Services; Life Sciences; Manufacturing","Marketing Automation; Lightning Adoption; Innovation","Executive; Sales; Service & Support","Sales Cloud; Service Cloud; Cloud Services","Trailhead Academy: Theater","Hilton Union Square Hotel","Tuesday","2:30 p.m. - 2:50 p.m.","11/7/2017 2:30 PM","Small: < 200","20","0","Zone Theater","101 Implementation Guide: Choose the Right Partner to Deliver Success","A botched implementation has caused companies not only millions of dollars but also crucial business opportunities. It's important to not only have a solid plan, but also, if you have a complex rollout, the right partners. Join us to learn what you need to find the right partner to drive a successful Salesforce implementation."
